Date,Close,High,Low,Open,Volume
2005-12-01,86.75826263427734,86.9910946731831,86.27204994303311,86.29943764494371,65468200
2005-12-02,86.86784362792969,87.02535167589456,86.62816201117218,86.813057765623,46699400
2005-12-05,86.68294525146484,86.78566743401586,86.40902117288455,86.76511881777186,59273400
2005-12-06,86.8472900390625,87.47731170761688,86.71717493752767,87.00479806853448,57935200
2005-12-07,86.34053802490234,86.88153662179478,86.06661395721837,86.81305168637351,66816500
2005-12-08,86.28575134277344,86.84729332506512,85.92965371545039,86.43640983979483,62608600
2005-12-09,86.51172637939453,86.81988764191041,86.16247311712132,86.39531036685887,50744500
2005-12-12,86.59391021728516,86.87468381287479,86.25835598995458,86.77196163827695,48389900
2005-12-13,87.18282318115234,87.44989763312401,86.48432197399538,86.5733450497641,88630900
2005-12-14,87.5252456665039,87.71699093222965,87.06642589142204,87.10066835658735,64375000
2005-12-15,87.27188110351562,87.65537168273406,87.09382966687824,87.54579996029034,55900300
2005-12-16,86.99099731445312,87.67943508664578,86.99099731445312,87.62435880430316,46238300
2005-12-19,86.54349517822266,87.34208536253269,86.52972873644872,87.245704513028,48733000
2005-12-20,86.62610626220703,87.14931506733966,86.3851541476904,86.6467585502567,46603200
2005-12-21,86.76380157470703,87.26636340144142,86.6054638467017,86.8946064170823,51806900
2005-12-22,87.21815490722656,87.21815490722656,86.79820758145591,86.95654527666417,32247900
2005-12-23,87.26634216308594,87.33518486513212,87.03227067329513,87.28010860255058,27977300
2005-12-27,86.37825775146484,87.46599030970849,86.31629564252108,87.40402820076473,44499500
2005-12-28,86.57103729248047,86.73626086317238,86.39892787440397,86.56415144509587,30764300
2005-12-29,86.1855239868164,86.71561874563574,86.09602371740564,86.55039515556211,32788900
2005-12-30,85.7173843383789,86.09602194334401,85.61411762707456,85.91703191293715,44645600
2006-01-03,87.22506713867188,87.43160057956905,85.63477750179985,86.18552984261657,73256700
2006-01-04,87.63812255859375,87.76892215184914,87.22505573082293,87.33520828552525,51899600
